ensemble,case,b,n,s,time_h,eke_25_90N_area_mass_weighted_m2_s-2
standard,BCwave_b1n1s-10,1.0,1,-10,289.0,2.183789729759032
standard,BCwave_b1n1s-10,1.0,1,-10,290.0,2.2475570388314186
standard,BCwave_b1n1s-10,1.0,1,-10,291.0,2.31224726537413
standard,BCwave_b1n1s-10,1.0,1,-10,292.0,2.377998161294262
standard,BCwave_b1n1s-10,1.0,1,-10,293.0,2.44480860695206
standard,BCwave_b1n1s-10,1.0,1,-10,294.0,2.512597781100643
standard,BCwave_b1n1s-10,1.0,1,-10,295.0,2.5812908689149543
standard,BCwave_b1n1s-10,1.0,1,-10,296.0,2.6507874424719
standard,BCwave_b1n1s-10,1.0,1,-10,297.0,2.721136424035949
standard,BCwave_b1n1s-10,1.0,1,-10,298.0,2.7925111293963867
standard,BCwave_b1n1s-10,1.0,1,-10,299.0,2.86484031175172
standard,BCwave_b1n1s-10,1.0,1,-10,300.0,2.93822284510544
standard,BCwave_b1n1s-10,1.0,1,-10,301.0,3.012482331991132
standard,BCwave_b1n1s-10,1.0,1,-10,302.0,3.08730769895679
standard,BCwave_b1n1s-10,1.0,1,-10,303.0,3.1626327642646643
standard,BCwave_b1n1s-10,1.0,1,-10,304.0,3.238706311502641
standard,BCwave_b1n1s-10,1.0,1,-10,305.0,3.315178539404673
standard,BCwave_b1n1s-10,1.0,1,-10,306.0,3.392156354178329
standard,BCwave_b1n1s-10,1.0,1,-10,307.0,3.469954645524501
standard,BCwave_b1n1s-10,1.0,1,-10,308.0,3.5482968303015245
standard,BCwave_b1n1s-10,1.0,1,-10,309.0,3.627411402392191
standard,BCwave_b1n1s-10,1.0,1,-10,310.0,3.706762182794611
standard,BCwave_b1n1s-10,1.0,1,-10,311.0,3.786361707901156
standard,BCwave_b1n1s-10,1.0,1,-10,312.0,3.866589471465289
standard,BCwave_b1n1s-10,1.0,1,-10,313.0,3.947002494874909
standard,BCwave_b1n1s-10,1.0,1,-10,314.0,4.028254904605854
standard,BCwave_b1n1s-10,1.0,1,-10,315.0,4.109705316779642
standard,BCwave_b1n1s-10,1.0,1,-10,316.0,4.191289597005973
standard,BCwave_b1n1s-10,1.0,1,-10,317.0,4.27324206229569
standard,BCwave_b1n1s-10,1.0,1,-10,318.0,4.354935502347034
standard,BCwave_b1n1s-10,1.0,1,-10,319.0,4.436241901711142
standard,BCwave_b1n1s-10,1.0,1,-10,320.0,4.517992850931238
standard,BCwave_b1n1s-10,1.0,1,-10,321.0,4.599923001640171
standard,BCwave_b1n1s-10,1.0,1,-10,322.0,4.68193824886672
standard,BCwave_b1n1s-10,1.0,1,-10,323.0,4.764039671543059
standard,BCwave_b1n1s-10,1.0,1,-10,324.0,4.846349762145305
standard,BCwave_b1n1s-10,1.0,1,-10,325.0,4.928546753167033
standard,BCwave_b1n1s-10,1.0,1,-10,326.0,5.010782155040904
standard,BCwave_b1n1s-10,1.0,1,-10,327.0,5.09331846238398
standard,BCwave_b1n1s-10,1.0,1,-10,328.0,5.17539006278799
standard,BCwave_b1n1s-10,1.0,1,-10,329.0,5.257172113157372
standard,BCwave_b1n1s-10,1.0,1,-10,330.0,5.3384791331612
standard,BCwave_b1n1s-10,1.0,1,-10,331.0,5.419858049801955
standard,BCwave_b1n1s-10,1.0,1,-10,332.0,5.501146272729229
standard,BCwave_b1n1s-10,1.0,1,-10,333.0,5.58209573457308
standard,BCwave_b1n1s-10,1.0,1,-10,334.0,5.66309517834766
standard,BCwave_b1n1s-10,1.0,1,-10,335.0,5.743937775062033
standard,BCwave_b1n1s-10,1.0,1,-10,336.0,5.8243394045009245
standard,BCwave_b1n1s-10,1.0,1,-10,337.0,5.904005666314153
standard,BCwave_b1n1s-10,1.0,1,-10,338.0,5.983387968425408
standard,BCwave_b1n1s-10,1.0,1,-10,339.0,6.062697638233077
standard,BCwave_b1n1s-10,1.0,1,-10,340.0,6.141381079826435
standard,BCwave_b1n1s-10,1.0,1,-10,341.0,6.2191464099093805
standard,BCwave_b1n1s-10,1.0,1,-10,342.0,6.29653560961193
standard,BCwave_b1n1s-10,1.0,1,-10,343.0,6.374118867614505
standard,BCwave_b1n1s-10,1.0,1,-10,344.0,6.4511669189594665
standard,BCwave_b1n1s-10,1.0,1,-10,345.0,6.527471636100857
standard,BCwave_b1n1s-10,1.0,1,-10,346.0,6.60391385618628
standard,BCwave_b1n1s-10,1.0,1,-10,347.0,6.680781145585727
standard,BCwave_b1n1s-10,1.0,1,-10,348.0,6.757199370363627
standard,BCwave_b1n1s-10,1.0,1,-10,349.0,6.833730287958481
standard,BCwave_b1n1s-10,1.0,1,-10,350.0,6.910893362717165
standard,BCwave_b1n1s-10,1.0,1,-10,351.0,6.988265957487072
standard,BCwave_b1n1s-10,1.0,1,-10,352.0,7.06544137769712
standard,BCwave_b1n1s-10,1.0,1,-10,353.0,7.142658486725629
standard,BCwave_b1n1s-10,1.0,1,-10,354.0,7.219434724784872
standard,BCwave_b1n1s-10,1.0,1,-10,355.0,7.295376786600718
standard,BCwave_b1n1s-10,1.0,1,-10,356.0,7.370944032101677
standard,BCwave_b1n1s-10,1.0,1,-10,357.0,7.4459311013303076
